time, size, sex
19977.641254735092,23,F
19981.38182410621,76,F
19987.72346536949,84,F
19985.50664419997,38,F
19949.52584346369,262,F
19996.617378046638,134,F
19990.394179168616,62,F
19971.292931530108,142,F
19984.87610548912,43,F
19966.820956571002,50,F
19994.68707802191,5,F
19997.131554123876,16,F
19997.081109245693,58,F
19970.989156651434,117,F
19990.506559670972,85,F
19974.78355262313,147,F
19994.251766081616,123,F
19930.99066864739,224,F
19996.73467654276,4,F
19998.25033272809,125,F
19977.077220346404,45,F
19986.36862653395,18,F
19999.52251874088,0,F
19992.470653689317,3,F
19966.312002313975,94,F
19992.629811339095,65,F
19986.558467416726,14,F
19973.69670878484,127,F
19981.79629239524,157,F
19986.0936078474,136,F
19980.99734970582,57,F
19997.624045928816,29,F
19956.08182605938,155,F
19973.89676042189,286,F
19940.336257708976,212,F
19949.69291779143,208,F
19949.292882427886,158,F
19973.17104317389,67,F
19988.897894644855,135,F
19970.115666681013,174,F
19966.508533166663,87,F
19934.681753702414,214,F
19967.950795316752,44,F
19984.807212721462,46,F
19973.627170067684,31,F
19993.576622992325,13,F
19963.955373753455,72,F
19994.57029246399,263,F
19986.00322767341,92,F
19963.446400301294,86,F
19965.413358226055,112,F
19974.32355348043,34,F
19965.30629085622,114,F
19988.343016019415,21,F
19976.835234376562,99,F
19997.134054559894,285,F
19994.633898787073,10,F
19971.131902566554,292,F
19995.530140272836,150,F
19959.308368953167,176,F
19986.85926530903,140,F
19973.420457146254,132,F
19980.192314331714,81,F
19971.249702582438,48,F
19973.94040017702,131,F
19966.751537533608,290,F
19970.591854896385,235,F
19998.675750758033,74,F
19997.725526099795,236,F
19947.22219493434,232,F
19967.896842705602,59,F
19982.416163518414,93,F
19950.578578769782,199,F
19984.46919909127,33,F
19986.52697699335,97,F
19967.92385583543,139,F
19935.913263144233,258,F
19975.779404255933,180,F
19998.047137491936,1,F
19983.250620241022,24,F
19957.560548769445,211,F
19953.63149984119,166,F
19994.861382497547,90,F
19951.447625551835,118,F
19987.88062041498,49,F
19983.38322931459,154,F
19958.159726092785,205,F
19983.72854845047,35,F
19974.115679996783,75,F
19974.973597518754,173,F
19990.043687591555,63,F
19932.297867471498,288,F
19994.16097266653,56,F
19944.120720540734,243,F
19952.246946801,183,F
19991.952847538483,15,F
19962.13265327138,260,F
19989.12688014282,26,F
19988.45237930832,102,F
19988.050363523213,8,F
19957.452634420042,196,F
19966.252519865262,103,F
19971.5383185272,100,F
19954.163751970067,253,F
