time,size,sex
19962.821503557163,523,F
19980.356455171408,216,F
19990.784316107045,397,F
19976.329042855465,207,F
19969.54810411349,307,F
19979.9581288526,263,F
19990.095406013024,2,F
19999.795988984744,3,F
19981.631888260516,288,F
19962.84343485045,496,F
19957.684424098745,312,F
19975.218464667316,269,F
19987.416825528602,110,F
19990.78546848747,32,F
19966.105670008845,398,F
19984.711049891288,190,F
19980.210509197077,504,F
19993.094596174837,17,F
19978.98912318958,128,F
19985.737289185723,165,F
19991.53181403881,236,F
19981.973935025984,177,F
19967.302247709693,240,F
19969.47164908418,99,F
19998.111549572004,91,F
19996.82497422173,253,F
19955.92242552811,538,F
19993.110024031317,319,F
19971.316776583146,170,F
19960.42166048904,521,F
19993.789369934726,65,F
19990.50026094085,11,F
19999.75346187475,0,F
19984.377636281617,650,F
19952.534606103076,417,F
19982.548715555473,44,F
19993.5702951394,41,F
19982.52464414622,132,F
19978.684714000745,355,F
19972.454049824613,196,F
19969.386105588896,317,F
19960.27399827892,234,F
19961.24863076137,636,F
19951.554000617656,490,F
19962.240784033555,278,F
19968.261566720434,186,F
19998.2428394311,315,F
19992.383879113888,340,F
19985.568573990335,358,F
19978.11139405614,272,F
19981.501484270826,60,F
19944.528675114194,613,F
19991.69571807778,134,F
19975.4223223348,225,F
19954.16799686141,222,F
19954.560729798643,529,F
19943.245162006395,381,F
19975.688649777,432,F
19968.717809060803,370,F
19987.416692585968,150,F
19974.319167116828,172,F
19970.851712808264,175,F
19977.987113939733,145,F
19980.84722460189,122,F
19959.2957914019,411,F
19980.718383374016,287,F
19916.631486553608,737,F
19980.411163603025,547,F
19936.461235324343,495,F
19981.31869416186,123,F
19961.061492595534,378,F
19955.083174495907,188,F
19996.409733605316,376,F
19956.228058061784,322,F
19988.786194731023,76,F
19986.45016603886,178,F
19978.646980427413,353,F
19993.731285771104,56,F
19973.66134146295,506,F
19983.181031362594,445,F
19973.900168209897,271,F
19985.848946077687,247,F
19974.865491545985,301,F
19981.920615176317,304,F
19992.709224493596,67,F
19976.90955962486,501,F
19983.961020482726,139,F
19955.711161555613,435,F
19981.98419194933,27,F
19960.67680195554,439,F
19998.44029308573,53,F
19974.330747861193,713,F
19979.453178693144,137,F
19998.860437298652,112,F
19955.991569632384,443,F
19956.411587576167,404,F
19983.25946357339,206,F
19994.18758402182,66,F
19983.991890484976,166,F
19967.246341323098,413,F
19984.74750410149,328,F
19939.30026811833,526,F
19943.84220967943,660,F
19968.008580063277,367,F
19965.944666270447,349,F
19993.558392636976,34,F
19938.695884033747,688,F
19969.643834735027,407,F
19975.947238994922,96,F
19989.130670398386,116,F
19992.91417113294,13,F
19958.981931887574,583,F
19999.493835288464,279,F
19960.59901592151,546,F
19948.35851557992,486,F
19990.754128938872,311,F
19989.066086744846,241,F
19997.128728076987,55,F
19956.84944545671,703,F
19974.54366827257,171,F
19944.612909620377,592,F
19977.697813610437,331,F
19985.4757241033,121,F
19966.380363174,187,F
19991.086101791865,309,F
19992.157907811325,255,F
19948.589007818216,574,F
19968.74334001045,299,F
19972.32843611616,231,F
19991.094125002157,154,F
19988.280213097536,603,F
19960.36714615965,380,F
19985.99979051997,326,F
19951.657089755216,402,F
19961.39972751128,552,F
19984.477055075015,18,F
19992.97055523634,33,F
19952.380673934702,568,F
19975.858233143274,212,F
19992.781958114098,24,F
19998.445232170758,1,F
19985.02796097314,357,F
19992.936023633825,205,F
19941.69121653365,428,F
19945.030227833508,352,F
19972.800554761136,668,F
19958.54772706912,442,F
19985.316580247687,72,F
19952.467574658538,448,F
19980.039522374624,95,F
19990.069183888027,181,F
19944.61874166437,469,F
19969.432533231433,107,F
19935.01343622616,532,F
19950.251101668466,715,F
19986.620593776428,283,F
19997.3815195333,29,F
19996.341938988644,21,F
19941.627588639974,518,F
19979.528478041713,318,F
19952.047491120276,344,F
19992.305440489443,264,F
19958.011340011195,296,F
19973.50290178967,156,F
19986.67801790502,440,F
19993.979227652653,81,F
19995.597833506814,140,F
19998.883991793635,151,F
19975.857266246072,470,F
19987.115780662767,104,F
19958.450818955534,577,F
19981.84162861154,127,F
19921.47968294591,667,F
19982.527825033718,197,F
19970.81336426423,375,F
19975.357243751154,131,F
19962.170447733402,270,F
19963.52993503274,332,F
19987.46793502408,174,F
19990.198659469745,16,F
19968.378285318526,261,F
19975.713587642324,133,F
19987.928167670747,238,F
19993.092195122405,30,F
19998.90482039657,198,F
19980.427818254033,64,F
19946.43665196435,594,F
19968.032816322066,117,F
19982.130496605914,120,F
19957.33208777903,266,F
19961.439131031944,251,F
19981.095009532022,61,F
19978.267334549935,130,F
19969.664496290174,282,F
19990.81299874213,256,F
19990.219473698653,125,F
19961.866412722433,351,F
19958.159647056797,474,F
19998.885856406516,217,F
19974.384662022865,191,F
19999.157507109023,50,F
19975.11248627389,68,F
19995.531127766495,294,F
19962.2055812212,342,F
19996.847261111645,28,F
19959.087891254574,564,F
19978.841084527918,114,F
19969.347816417936,430,F
19968.36866773443,250,F
19977.3263295973,229,F
19980.393588085066,219,F
19974.911555536644,421,F
19994.111596799623,6,F
19983.34299671063,295,F
19948.079421713916,454,F
19965.942515338404,412,F
19984.864752698566,259,F
19958.426429144063,233,F
19976.483217791552,211,F
19956.13137761551,201,F
19968.824740502332,226,F
19985.636150087415,159,F
19952.49090306746,665,F
19987.844187447936,215,F
19974.188707168865,168,F
19931.42574314239,648,F
19999.157953994218,185,F
19945.780025756343,373,F
19990.262214249393,163,F
19984.262844666384,399,F
19998.63554807251,184,F
19950.850905702846,477,F
19989.67438888143,42,F
19999.388122343273,590,F
19965.654561051007,274,F
19997.851194470542,389,F
19978.40573300136,423,F
19986.587949586796,383,F
19966.98442970103,455,F
19982.214630077022,573,F
19960.44454451174,459,F
19996.979392602105,243,F
19977.174315709766,54,F
19987.30720787497,35,F
19960.096526917983,586,F
19980.562968072536,36,F
19983.134513739093,680,F
19955.629472356435,655,F
19960.57729358576,610,F
19962.388030972685,227,F
19990.816607279212,113,F
19955.01331410501,653,F
19979.666403374827,463,F
19975.323910615065,136,F
19947.72904459927,460,F
19957.915988327466,422,F
19990.715526831507,48,F
19945.496723636737,441,F
19996.11645680172,38,F
19996.267760513696,37,F
19957.15726644952,406,F
19985.76646838343,102,F
19973.928620480267,482,F
19996.536210601982,210,F
19995.78995681916,52,F
19983.878097784283,62,F
19996.02689754406,71,F
19959.53377855495,427,F
19926.910712403358,637,F
19971.447729370546,262,F
19999.71930002358,142,F
19964.519894929053,323,F
19976.598945938727,246,F
19969.901183056772,118,F
19979.491203746406,74,F
19987.337883575412,329,F
19989.525102914828,93,F
19993.622878125858,84,F
19982.839474320303,335,F
19979.534717434573,115,F
19947.399344063982,497,F
19966.99915659264,306,F
19981.845604425976,204,F
19970.24778015958,374,F
19989.021679684396,284,F
19980.139492518418,194,F
19949.008211106608,462,F
19967.216770536314,183,F
19988.996149248003,220,F
19938.073352383555,704,F
19962.608258875345,393,F
19958.434499330917,192,F
19977.67392724997,98,F
19958.167940461397,556,F
19993.28113710431,289,F
19962.769313377816,570,F
19988.383448215358,285,F
19963.111468873747,302,F
19998.738551900344,75,F
19977.190604837422,478,F
19975.060552578914,468,F
19989.852514279723,86,F
19986.836825394512,88,F
19991.820869521765,230,F
19976.0328587304,22,F
19995.397190561525,31,F
19977.704359245592,90,F
19989.5600698907,265,F
19965.333333864153,239,F
19977.563760077162,425,F
19984.1077727422,310,F
19995.60983726012,10,F
19981.448409043795,359,F
19988.979455226257,19,F
19959.11195949363,341,F
19969.216355534267,339,F
19969.807378766218,202,F
19970.06640859688,324,F
19985.973768362055,26,F
19982.583783269347,364,F
19980.02645647999,152,F
19966.089563004214,608,F
19989.21920390732,100,F
19967.80162020134,633,F
19986.13419476083,498,F
19986.881823843447,5,F
19958.49549454157,663,F
19964.901111633986,249,F
19956.338715923946,396,F
19999.690048366094,286,F
19965.644193926837,160,F
19986.953861236234,452,F
19969.912812839193,276,F
19936.39529605727,569,F
19959.592220127677,300,F
19958.524411640377,218,F
19983.877198665334,162,F
19979.613352470893,182,F
19968.78133042013,629,F
19979.41124021267,167,F
19983.337275679343,639,F
19989.25181356256,83,F
19987.200168622898,281,F
19988.693718675357,235,F
19967.361539696936,379,F
19963.32304825357,280,F
19969.443935165367,489,F
19973.19920609845,597,F
19959.115860784892,525,F
19995.783089401066,8,F
19968.76407403842,621,F
19988.81879557585,126,F
19991.03966128734,49,F
19972.13545327005,408,F
19980.879191158925,164,F
19986.966707724172,424,F
19985.88019109356,313,F
19941.13791193436,710,F
19953.862622557634,277,F
19983.21357717157,252,F
19990.352568733386,57,F
19952.31028145785,290,F
19981.84347842425,356,F
19984.15070673834,97,F
19986.437382114775,195,F
19992.431780985942,87,F
19965.16232860087,365,F
19973.098639090065,634,F
19993.520597502815,124,F
19995.24154101359,39,F
19968.286598478062,267,F
19994.93943401819,268,F
19971.109607400496,214,F
19983.477425108507,228,F
19968.502697746484,465,F
19986.4044297278,361,F
19979.420625206494,208,F
19976.926079820794,254,F
19998.29440314252,189,F
19962.821503557163,523,M
19965.92703397682,390,M
19980.356455171408,216,M
19990.784316107045,397,M
19976.329042855465,207,M
19969.54810411349,307,M
19979.9581288526,263,M
19990.095406013024,2,M
19988.608586636292,46,M
19962.84343485045,496,M
19975.218464667316,269,M
19990.06751847406,232,M
19993.267635152206,155,M
19987.416825528602,110,M
19990.78546848747,32,M
19966.105670008845,398,M
19984.711049891288,190,M
19975.017764903634,476,M
19977.225405813675,153,M
19980.210509197077,504,M
19993.094596174837,17,M
19978.98912318958,128,M
19991.53181403881,236,M
19981.973935025984,177,M
19993.209791188805,109,M
19967.302247709693,240,M
19969.47164908418,99,M
19998.111549572004,91,M
19996.82497422173,253,M
19962.66136375215,209,M
19993.110024031317,319,M
19971.316776583146,170,M
19960.42166048904,521,M
19993.789369934726,65,M
19990.50026094085,11,M
19999.75346187475,0,M
19984.377636281617,650,M
19982.548715555473,44,M
19993.5702951394,41,M
19982.52464414622,132,M
19978.684714000745,355,M
19972.454049824613,196,M
19969.386105588896,317,M
19992.87471367565,101,M
19960.27399827892,234,M
19951.554000617656,490,M
19962.240784033555,278,M
19968.261566720434,186,M
19993.642246712072,213,M
19992.383879113888,340,M
19961.56708763526,377,M
19957.96656604657,475,M
19985.568573990335,358,M
19981.501484270826,60,M
19944.528675114194,613,M
19991.69571807778,134,M
19954.560729798643,529,M
19943.245162006395,381,M
19992.61877147043,336,M
19969.29573704262,245,M
19975.688649777,432,M
19968.717809060803,370,M
19987.416692585968,150,M
19970.851712808264,175,M
19977.987113939733,145,M
19959.2957914019,411,M
19985.17330295187,203,M
19944.033606506953,727,M
19932.74638943699,517,M
19980.718383374016,287,M
19916.631486553608,737,M
19980.411163603025,547,M
19981.31869416186,123,M
19955.083174495907,188,M
19997.06502128069,4,M
19996.409733605316,376,M
19988.786194731023,76,M
19986.45016603886,178,M
19989.81751038676,77,M
19978.646980427413,353,M
19949.21994861993,433,M
19973.66134146295,506,M
19983.181031362594,445,M
19973.900168209897,271,M
19974.865491545985,301,M
19974.480408407864,330,M
19992.709224493596,67,M
19983.961020482726,139,M
19955.711161555613,435,M
19989.190553152825,291,M
19981.98419194933,27,M
19960.67680195554,439,M
19998.44029308573,53,M
19974.330747861193,713,M
19955.991569632384,443,M
19961.969857835167,221,M
19983.25946357339,206,M
19994.18758402182,66,M
19983.991890484976,166,M
19991.705559548314,173,M
19967.246341323098,413,M
19984.74750410149,328,M
19939.30026811833,526,M
19968.008580063277,367,M
19965.944666270447,349,M
19992.07906461809,73,M
19938.695884033747,688,M
19969.643834735027,407,M
19997.889432505992,25,M
19975.947238994922,96,M
19989.130670398386,116,M
19992.91417113294,13,M
19999.493835288464,279,M
19960.59901592151,546,M
19940.49783207399,572,M
19993.148783692788,129,M
19990.754128938872,311,M
19989.066086744846,241,M
19997.128728076987,55,M
19956.84944545671,703,M
19969.2165943017,429,M
19944.612909620377,592,M
19977.697813610437,331,M
19985.4757241033,121,M
19966.380363174,187,M
19971.221015670955,144,M
19991.086101791865,309,M
19992.157907811325,255,M
19948.589007818216,574,M
19977.44444584094,63,M
19968.74334001045,299,M
19972.32843611616,231,M
19991.094125002157,154,M
19988.280213097536,603,M
19955.80342904474,431,M
19960.36714615965,380,M
19985.99979051997,326,M
19974.053677352684,314,M
19982.049550995456,609,M
19961.39972751128,552,M
19984.477055075015,18,M
19992.97055523634,33,M
19952.380673934702,568,M
19975.858233143274,212,M
19986.722439310328,135,M
19992.781958114098,24,M
19998.445232170758,1,M
19985.02796097314,357,M
19992.936023633825,205,M
19941.69121653365,428,M
19945.030227833508,352,M
19972.800554761136,668,M
19958.54772706912,442,M
19969.432533231433,107,M
19935.01343622616,532,M
19986.620593776428,283,M
19977.33847329743,632,M
19996.341938988644,21,M
19941.627588639974,518,M
19952.047491120276,344,M
19992.305440489443,264,M
19958.011340011195,296,M
19973.50290178967,156,M
19986.67801790502,440,M
19995.597833506814,140,M
19998.883991793635,151,M
19987.115780662767,104,M
19986.24526897143,15,M
19958.450818955534,577,M
19951.217692991093,437,M
19981.84162861154,127,M
19921.47968294591,667,M
19935.09202449609,418,M
19982.527825033718,197,M
19970.81336426423,375,M
19975.357243751154,131,M
19962.170447733402,270,M
19963.52993503274,332,M
19987.46793502408,174,M
19990.198659469745,16,M
19968.378285318526,261,M
19975.713587642324,133,M
19987.928167670747,238,M
19993.092195122405,30,M
19998.90482039657,198,M
19980.427818254033,64,M
19968.032816322066,117,M
19982.130496605914,120,M
19957.33208777903,266,M
19961.439131031944,251,M
19981.095009532022,61,M
19978.267334549935,130,M
19969.664496290174,282,M
19990.81299874213,256,M
19990.219473698653,125,M
19958.159647056797,474,M
19998.885856406516,217,M
19974.384662022865,191,M
19999.157507109023,50,M
19972.116113257332,147,M
19975.11248627389,68,M
19962.2055812212,342,M
19996.847261111645,28,M
19959.087891254574,564,M
19961.394561029858,519,M
19978.841084527918,114,M
19969.347816417936,430,M
19968.36866773443,250,M
19977.3263295973,229,M
19974.911555536644,421,M
19994.111596799623,6,M
19983.34299671063,295,M
19948.079421713916,454,M
19965.942515338404,412,M
19984.864752698566,259,M
19958.426429144063,233,M
19976.483217791552,211,M
19956.13137761551,201,M
19968.824740502332,226,M
19985.636150087415,159,M
19953.014134681016,363,M
19931.42574314239,648,M
19999.157953994218,185,M
19992.80068467338,362,M
19945.780025756343,373,M
19990.262214249393,163,M
19984.262844666384,399,M
19959.32466651442,292,M
19998.63554807251,184,M
19950.850905702846,477,M
19989.67438888143,42,M
19999.388122343273,590,M
19965.654561051007,274,M
19986.587949586796,383,M
19966.98442970103,455,M
19995.006328794065,103,M
19982.214630077022,573,M
19960.44454451174,459,M
19996.979392602105,243,M
19977.174315709766,54,M
19987.30720787497,35,M
19960.096526917983,586,M
19984.604028068257,161,M
19980.562968072536,36,M
19955.629472356435,655,M
19960.57729358576,610,M
19962.388030972685,227,M
19964.19883701691,561,M
19942.192420861298,545,M
19979.666403374827,463,M
19975.323910615065,136,M
19947.72904459927,460,M
19957.915988327466,422,M
19990.715526831507,48,M
19945.496723636737,441,M
19996.11645680172,38,M
19957.15726644952,406,M
19985.76646838343,102,M
19973.928620480267,482,M
19996.536210601982,210,M
19995.78995681916,52,M
19983.878097784283,62,M
19996.02689754406,71,M
19959.53377855495,427,M
19971.447729370546,262,M
19999.71930002358,142,M
19976.598945938727,246,M
19969.901183056772,118,M
19979.491203746406,74,M
19987.337883575412,329,M
19989.525102914828,93,M
19993.622878125858,84,M
19959.898425262065,738,M
19973.01748628223,248,M
19979.534717434573,115,M
19981.845604425976,204,M
19970.24778015958,374,M
19972.295948870884,158,M
19986.728097580508,612,M
19979.29869093443,297,M
19980.139492518418,194,M
19994.232957246804,108,M
19949.008211106608,462,M
19967.216770536314,183,M
19988.996149248003,220,M
19938.073352383555,704,M
19962.608258875345,393,M
19958.434499330917,192,M
19977.67392724997,98,M
19958.167940461397,556,M
19993.28113710431,289,M
19962.769313377816,570,M
19998.738551900344,75,M
19977.190604837422,478,M
19975.427784854855,487,M
19975.060552578914,468,M
19989.852514279723,86,M
19957.822252780195,333,M
19999.955257999067,89,M
19986.836825394512,88,M
19991.820869521765,230,M
19976.0328587304,22,M
19995.397190561525,31,M
19977.704359245592,90,M
19989.5600698907,265,M
19977.563760077162,425,M
19984.1077727422,310,M
19995.60983726012,10,M
19981.448409043795,359,M
19988.979455226257,19,M
19959.11195949363,341,M
19969.216355534267,339,M
19967.66898048115,368,M
19969.807378766218,202,M
19970.06640859688,324,M
19982.583783269347,364,M
19989.21920390732,100,M
19979.070348187543,338,M
19967.80162020134,633,M
19969.8866194387,509,M
19986.13419476083,498,M
19986.881823843447,5,M
19958.49549454157,663,M
19964.901111633986,249,M
19956.338715923946,396,M
19999.690048366094,286,M
19971.441338765744,499,M
19965.644193926837,160,M
19955.3793310516,729,M
19969.912812839193,276,M
19936.39529605727,569,M
19988.092661805676,320,M
19958.524411640377,218,M
19983.877198665334,162,M
19979.613352470893,182,M
19979.41124021267,167,M
19982.433054152556,14,M
19989.25181356256,83,M
19987.200168622898,281,M
19988.693718675357,235,M
19971.9226627397,550,M
19967.361539696936,379,M
19963.32304825357,280,M
19969.443935165367,489,M
19989.458645371877,94,M
19995.783089401066,8,M
19968.76407403842,621,M
19983.90534609719,200,M
19988.81879557585,126,M
19943.76981456611,630,M
19991.03966128734,49,M
19972.13545327005,408,M
19980.879191158925,164,M
19986.966707724172,424,M
19941.13791193436,710,M
19953.862622557634,277,M
19983.21357717157,252,M
19990.352568733386,57,M
19952.31028145785,290,M
19981.84347842425,356,M
19984.15070673834,97,M
19986.437382114775,195,M
19965.973694946006,345,M
19965.16232860087,365,M
19973.098639090065,634,M
19993.520597502815,124,M
19991.0324778361,80,M
19995.24154101359,39,M
19968.286598478062,267,M
19971.109607400496,214,M
19964.452587666947,492,M
19983.477425108507,228,M
19968.502697746484,465,M
19986.4044297278,361,M
19979.420625206494,208,M
19982.85616312733,106,M
19976.926079820794,254,M
19998.29440314252,189,M
