time,size
100.03340561123431,1385
200.03589644563195,1208
300.11987986424043,997
400.1419702124221,832
500.24345370874585,790
600.2551256217765,716
700.3443724455979,537
800.3449348401576,610
900.4375841102462,652
1000.4677070269324,765
1100.4695906751122,766
1200.4715642508734,708
1300.5215366315417,677
1400.5283774153468,660
1500.5392663468344,804
1600.5904254391264,808
1700.5951975095488,951
1800.647989386253,974
1900.6481820967836,1040
2000.6842517969528,922
2100.728248005665,791
2200.733090931832,838
2300.785462009386,839
2400.8033206205496,710
2500.8311331329423,763
2600.894634926307,715
2700.899351168209,650
2800.931526232377,638
2900.9325255522517,665
3000.9337278252374,633
3100.9545894076177,641
3200.957793262559,558
3301.0344314343133,557
3401.051463759983,685
3501.064271456658,805
3601.075997320255,808
3701.109795212692,829
3801.1138514662443,899
3901.178662929821,989
4001.204973157636,984
4101.225188567248,1040
4201.239625246069,1123
4301.251337338597,989
4401.277723112342,1052
4501.294251144993,1022
4601.312880465653,895
4701.3197278979,1039
4801.3508076397975,939
4901.409010638435,783
5001.477146393245,988
5101.479364944244,926
5201.495955138803,1068
5301.542410334725,996
5401.5445708937405,1069
5501.566940176278,1189
5601.568579933537,1203
5701.604972274266,1030
5801.639986332469,1090
5901.665314937591,1419
6001.685917379126,1408
6101.706639288436,1132
6201.7313368389705,919
6301.771477732433,992
6401.77164872581,1037
6501.780651025749,1062
6601.787430749989,1290
6701.8145237981325,1510
6801.8224365906935,1378
6901.825377775604,1457
7001.831223542798,1408
7101.839749920001,1327
7201.916833887261,1315
7301.923642310444,1324
7401.92787951029,1345
7501.9480466537825,1434
7601.948186063927,1373
7701.9517925340115,1392
7801.955512796512,1391
7901.991688856021,1284
8002.002720265388,1373
8102.012006637798,1466
8202.014633493347,1644
8302.021889346377,1737
8402.054340954357,1827
8502.054878117737,1824
8602.062089944448,2174
8702.064854679269,2125
8802.075450059257,2185
8902.076576357435,2153
9002.079260026198,2139
9102.085797086846,2280
9202.088486921395,2380
9302.09777186738,2614
9402.099025662928,2461
9502.124657774177,2414
9602.125024234098,2414
9702.13556314167,2427
9802.150929617539,2547
9902.162788443287,2325
10002.163040144447,2452
10102.168452954735,2603
10202.16902272475,2476
10302.180321985279,2675
10402.196112157864,2513
10502.203303156506,2391
10602.209916933707,2300
10702.219146064117,2016
10802.221732089733,1938
10902.228718179682,2054
11002.236170217237,2146
11102.236243334017,2423
11202.243988530257,2525
11302.246727366432,2650
11402.260579780137,2475
11502.268626501489,2184
11602.273000096531,2452
11702.275078931403,2448
11802.276662415825,2645
11902.304540838339,2647
12002.308302170797,2601
12102.337688492844,2623
12202.338156437934,2512
12302.341409494313,2332
12402.342769320047,2478
12502.351929369615,2416
12602.353827701369,2137
12702.388392641216,2112
12802.393243059223,1868
12902.43809369583,1831
13002.439630494786,1736
13102.44072129112,1607
13202.445202566074,1791
13302.4482639295,1519
13402.505560067331,1558
13502.52090082365,1495
13602.554097268372,1573
13702.577689689344,1523
13802.578213596777,1412
13902.627189333996,1410
14002.653004149348,1401
14102.674825507907,1138
14202.694923385252,1294
14302.707181698941,1234
14402.722250722118,1319
14502.735425083381,1353
14602.75732199255,1493
14702.764724747938,1445
14802.781901905846,1457
14902.783486413859,1356
15002.785596255448,1529
15102.79146761707,1717
15202.793710430316,1967
15302.80989289364,1998
15402.818829122993,2058
15502.82802173904,2067
15602.834137910082,2003
15702.836511141477,2271
15802.840326335076,2321
15902.853532379813,2313
16002.873048558915,2238
16102.884311274522,2445
16202.886329743971,2590
16302.886604521322,2367
16402.889372332036,2421
16502.91989871036,2481
16602.924540670945,2265
16702.926829852953,2028
16802.935565287702,2209
16902.938973814096,2233
17002.947834034698,2367
17102.94927887987,2429
17202.952089732502,2344
17302.963002548237,2611
17402.970074226312,2432
17502.971909311702,2494
17602.993029055906,2033
17703.00199146701,1986
17803.005785551875,1856
17903.01269830288,1746
18003.03056063419,1417
18103.033396028393,1499
18203.0491715129,1678
18303.054744278765,1838
18403.059340921,1902
18503.061934149267,2083
18603.077954175296,2108
18703.0784543539,2236
18803.080142682098,2385
18903.08602677448,2501
19003.09829393812,2481
19103.106661235954,2578
19203.10750567928,2399
19303.11073203432,2392
19403.11437006165,2405
19503.11725792515,2191
19603.12221297057,2065
19703.130081390937,1973
19803.137685595408,2227
19903.149447927026,2066
=======
100.01999157356298,1396
200.032720952249,1564
300.0424302949504,1401
400.1248498304969,1147
500.1340216844731,1153
600.1426420723774,1257
700.1742132756951,1294
800.1836695231577,1170
900.1953662012949,1306
1000.2272526380038,1157
1100.2454606393107,1186
1200.2493664334534,1294
1300.2655730481722,1290
1400.2880667656714,1249
1500.2885092025792,1356
1600.3009321785407,1311
1700.3124312303805,1358
1800.3332651166809,1439
1900.3339064360118,1366
2000.3439156848701,1364
2100.347457889211,1260
2200.3793970413935,1413
2300.3889251086807,1352
2400.4291219856655,1443
2500.4342009893858,1360
2600.4737032468943,1156
2700.4768708751467,1175
2800.5157994532415,1192
2900.546608407513,1261
3000.619843044513,972
3100.650025650837,961
3200.7013700832067,889
3300.7238357432443,880
3400.764671251428,883
3500.7826132933087,1048
3600.787974775308,1217
3700.868584769249,1248
3800.8860647996567,1410
3900.8931003766957,1512
4000.906485023573,1582
4100.907303278206,1468
4200.939629832446,1544
4300.964848340383,1485
4400.977551503587,1201
4500.986677753656,1153
4600.994539846799,1019
4700.999993246489,1111
4801.001610610749,1207
4901.005646902019,1146
5001.013698322271,1247
5101.05902830579,1337
5201.091036128363,1468
5301.102456383234,1550
5401.103268709832,1551
5501.103349837764,1397
5601.151265493924,1302
5701.161946711961,1307
5801.164257238229,1168
5901.166648859872,1096
6001.185162069128,1220
6101.226941703262,1163
6201.240505949133,1294
6301.240752196268,1505
6401.253368248462,1438
6501.254850086034,1342
6601.265901980126,1285
6701.2962832053445,1058
6801.315305827099,934
6901.323884565616,892
7001.362953212622,775
7101.4429785854145,767
7201.480890014723,754
7301.574796249825,808
7401.590579350172,920
7501.60168337508,1003
7601.604387147218,1173
7701.610872098692,1133
7801.621971137422,928
7901.654334006431,918
8001.677131522588,785
8101.721108894582,737
8201.778863487696,699
8301.83602822009,772
8401.840203046904,730
8501.989345534897,624
8602.001253143815,638
8702.022046393262,666
8802.024056320322,579
8902.078787959155,428
9002.126445684378,473
9102.192084469512,503
9202.208823852074,508
9302.210609335922,503
9402.398360047477,554
9502.437378521798,555
9602.441247490702,674
9702.458727277772,777
9802.490494198299,848
9902.545872706713,956
10002.559894481543,860
10102.661846713856,806
10202.664512182953,835
10302.666735754327,825
10402.685796253076,884
10502.697865207141,938
10602.749005980428,819
10702.805011733048,806
10802.825502181948,891
10902.852900539301,829
11002.881118436628,698
11102.920472017766,695
11202.933308260615,838
11303.004898227324,893
11403.022969513448,884
11503.03027838519,1006
11603.10275930861,996
11703.120200301108,1122
11803.160707510287,1122
11903.177644405436,1175
12003.183811706047,1209
12103.21064753076,1394
12203.21280204355,1515
12303.258260696673,1558
12403.290462184767,1643
12503.301177835514,1741
12603.311807068718,1785
12703.326746332454,1714
12803.380492890868,1795
12903.393859299715,1881
13003.42134564163,1771
13103.422221348063,1821
13203.428730828033,1768
13303.45743668482,1760
13403.458795899236,1815
13503.462064914855,1536
13603.482885365323,1293
13703.505200076635,1405
13803.535575893957,1635
13903.564060371576,1547
14003.569276187465,1689
14103.57265279145,1806
14203.592629093535,1886
14303.593678410198,1978
14403.605797229573,2076
14503.608460880785,1926
14603.612559923158,1845
14703.614064353631,1626
14803.61679757003,1660
14903.739660308638,1671
15003.74514439955,1906
15103.763238227122,1996
15203.76333467567,2194
15303.767502514844,2441
15403.769083689322,2569
15503.789410742782,2564
15603.79352244356,2466
15703.812929021473,2284
15803.822669334759,2216
15903.828246287863,2416
16003.836721047608,2592
16103.841212622121,2576
16203.847667006161,2704
16303.849893527646,2723
16403.865757436106,2976
16503.867384831694,2915
16603.876100438458,3009
16703.881217525868,3195
16803.88834483879,3167
16903.901208787345,3209
17003.902563821146,3139
17103.922725635126,3310
17203.923520976903,2888
17303.96859068799,2721
17403.9778331577,2741
17503.9866108447,2938
17603.990659843486,2564
17703.993667099505,2677
17803.995085686598,2554
17904.01523793791,2524
18004.018441693584,2298
18104.023150386725,2447
18204.024003724637,2353
18304.035187225607,2378
18404.043113837477,2521
18504.081239807994,2334
18604.087996326878,2157
18704.09492495327,2059
18804.108142165634,1993
18904.114828776303,1594
19004.11496714386,1436
19104.11838073346,1548
19204.131506007805,1517
19304.14742772321,1425
19404.15575495526,1423
19504.175457178313,1215
19604.21368342796,1086
19704.232300721895,937
19804.267006390946,930
19904.269230660484,1116
