time,size,sex
0.0,12,F
68.66283143532088,13,F
119.1055668800645,14,F
249.28609159246878,15,F
361.318292412494,16,F
525.3612080368678,17,F
561.4982767590086,18,F
613.0172489444351,19,F
758.4871027146656,20,F
832.3206136712358,21,F
852.7275559311732,22,F
936.2253580187423,23,F
938.5423500312274,24,F
951.9841024501352,25,F
995.0014007484863,26,F
1059.0504247814224,27,F
1064.9332786536272,28,F
1064.98826819848,29,F
1091.7660190814977,30,F
1190.6359079566062,31,F
1233.756429842261,32,F
1236.1858611039377,33,F
1246.698588952802,34,F
1257.1149297427562,35,F
1277.8759896704903,36,F
1297.9380621730481,37,F
1300.3025656425987,38,F
1305.1112064734511,39,F
1308.1017697675113,40,F
1361.1646555322782,41,F
1369.4790268413024,42,F
1374.9615481388917,43,F
1391.3064400150288,44,F
1400.8390959114508,45,F
1408.0374629505263,46,F
1432.5133841817576,47,F
1443.478326759979,48,F
1451.5210492467206,49,F
1466.6409959050354,50,F
1469.4967595050127,51,F
1483.1037992173715,52,F
1483.3356295109243,53,F
1486.2276882890017,54,F
1497.8169044853507,55,F
1500.7279320432278,56,F
1502.2028973793776,57,F
1505.1273806510555,58,F
1519.2264016196625,59,F
1525.1132582663008,60,F
1533.1333305237154,61,F
1555.2546353970224,62,F
1559.3138486531682,63,F
1563.3432592678064,64,F
1571.687417862871,65,F
1590.7220277200302,66,F
1599.3060046676833,67,F
1629.5720685798358,68,F
1634.3016764818099,69,F
1635.1886019659123,70,F
1635.7010446858917,71,F
1642.4035212583487,72,F
1642.5704836732677,73,F
1645.888080924263,74,F
1647.0068662013948,75,F
1651.2584590809195,76,F
1658.6183385954641,77,F
1658.677216015709,78,F
1666.1776976075705,79,F
1670.7928520070611,80,F
1677.5846655858256,81,F
1677.695084220738,82,F
1682.5182120852846,83,F
1682.6508233650197,84,F
1682.902656526419,85,F
1687.232146762987,86,F
1688.1875881156946,87,F
1694.6653364614356,88,F
1696.9213894844086,89,F
1707.35248745234,90,F
1715.7480930469217,91,F
1725.5874405561563,92,F
1727.131319138256,93,F
1727.5196402884162,94,F
1731.9314499802415,95,F
1735.0110818256996,96,F
1735.5739382655008,97,F
1736.3089087298654,98,F
1748.2822034675266,99,F
1758.0765491704244,100,F
1758.8103126018918,101,F
1759.6125113505284,102,F
1760.548097762607,103,F
1760.667423335341,104,F
1761.058074152876,105,F
1764.4775126060179,106,F
1771.3304799348798,107,F
1771.8743179956564,108,F
1773.5493267255454,109,F
1773.9293954113093,110,F
1775.895004953536,111,F
1776.1926851548776,112,F
1778.3714178333605,113,F
1779.6228407947895,114,F
1793.1910208550871,115,F
1799.1567670122245,116,F
1801.4507273729348,117,F
1802.7191208707097,118,F
1804.250394116743,119,F
1805.7108165564478,120,F
1809.135629585848,121,F
1809.7025547611445,122,F
1811.8901338995026,123,F
1812.377515418064,124,F
1815.5080288700608,125,F
1818.6197456247048,126,F
1823.6801742043754,127,F
1825.333242173206,128,F
1826.829819218167,129,F
1832.8902474319216,130,F
1834.1958442806076,131,F
1836.6380004085336,132,F
1838.8422066839719,133,F
1839.3131196743166,134,F
1842.1261852456155,135,F
1842.2045912483948,136,F
1843.4108428245222,137,F
1845.1126354595344,138,F
1845.4801879909205,139,F
1847.1184128008301,140,F
1848.0334510256962,141,F
1848.9847087645035,142,F
1853.1908156118586,143,F
1855.4577599561944,144,F
1856.0194043791016,145,F
1856.1424005070894,146,F
1856.5477319916986,147,F
1856.5861321327184,148,F
1858.2518044817293,149,F
1858.6639663225242,150,F
1858.9831728651436,151,F
1859.200909797453,152,F
1859.5216538576603,153,F
1860.0321125240698,154,F
1861.7614746651413,155,F
1861.93523957201,156,F
1862.2626970508836,157,F
1864.090056361546,158,F
1865.80074521066,159,F
1866.3617040365673,160,F
1866.7117678452687,161,F
1866.7817319939234,162,F
1869.213850118524,163,F
1870.3574170424793,164,F
